taboo: thrifty,cheap,spend,money,stingy
taboo: double,twice,number,triple,amount
taboo: tragedy,terrible,sad,victim,disaster
taboo: lawn,grass,mow,green,yard
taboo: arrest,jail,criminal,police,handcuffs
taboo: educate,child,teach,learn,school
taboo: myth,Greek,legend,history,culture
taboo: measurement,unit,height,distance,length
taboo: prescription,doctor,paper,medicine,pharmacy
taboo: grave,bury,cemetery,dig,funeral
taboo: makeup,women,lipstick,pretty,put on
taboo: hunt,deer,gun,woods,food
taboo: surgeon,doctor,surgery,operation,hospital
taboo: suburb,city,outside,quiet,live
taboo: minimum,maximum,lowest,wage,amount
taboo: sacred,holy,religious,blessed,cow
taboo: warrior,soldier,war,attack,battle
taboo: retired,work,relax,old,pension
taboo: survey,ask,questions,opinion,fill out
taboo: corruption,politician,bribe,government,scandal
taboo: hook,fishing,metal,sharp,bait
taboo: ankle,sprain,leg,foot,break
taboo: steep,climb,mountain,hill,angle
taboo: spread,disease,virus,infection,prevent
taboo: cooperate,together,everyone,unite,work
taboo: sacrifice,human,kill,ritual,blood
taboo: bubble,gum,soap,blow,pop
taboo: jaw,mouth,teeth,bones,chew
taboo: sail,ship,boat,ocean,wind
taboo: tropical,hot,storm,island,exotic
taboo: mushroom,white,eat,fungus,sauce
taboo: workout,gym,weight,train,exercise
taboo: chew,gum,food,eat,teeth
taboo: fragile,delicate,break,glass,careful
taboo: mansion,house,home,live,expensive
taboo: crowd,people,many,herd,street
taboo: spit,mouth,saliva,liquid,tobacco
taboo: hike,walk,woods,mountain,backpack
taboo: dinosaur,giant,extinct,lizard,Barney
taboo: polite,nice,smile,manners,friendly
taboo: fried,chicken,cook,food,oil
taboo: jail,prison,criminals,bars,arrest
taboo: cigar,Cuban,smoke,tobacco,cigarette
taboo: sip,drink,taste,mouth,try
taboo: torture,prisoner,information,pain,guard
taboo: nun,Catholic,woman,priest,sister
taboo: owl,night,bird,hoot,tree
taboo: lottery,win,money,ticket,gambling
taboo: click,mouse,select,tap,noise
taboo: hammer,nail,swing,build,tool
taboo: coconut,fruit,oil,white,milk
taboo: syrup,pancakes,sweet,maple,butter
taboo: tornado,storm,wind,damage,hurricane
taboo: float,boat,water,surface,top
taboo: pearl,oyster,white,jewelry,diver
taboo: allergy,sneeze,itch,spring,season
taboo: pirate,ship,Caribbean,Johnny Depp,Captain Hook
taboo: shovel,dig,hole,shed,snow
taboo: cash,money,check,payment,dollar
taboo: diaper,Pampers,Huggies,change,baby
taboo: hen,rooster,chicken,farm,eggs
taboo: mustache,hair,beard,lip,shave
taboo: microwave,heat,food,fast,cook
taboo: grill,barbecue,cook,fire,meat
taboo: drummer,Ringo,beat,sticks,band
taboo: toast,bread,butter,breakfast,jelly
taboo: chart,graph,numbers,visual,data
taboo: pajamas,bed,night,sleepover,clothes
taboo: barber,haircut,shave,scissors,hairdresser
taboo: barefoot,shoes,socks,summer,beach
taboo: donkey,gray,cart,stubborn,ride
taboo: blizzard,snow,cold,weather,storm
